pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
2923,543760,"Semien, Marcus",2923,100,0.265,0.273,0.276,0.538,0.368,0.336,0.249,173,652,89.7,20.4,2241,88.8,88.6,284,1318,1605,-0.2,6.27,106,154,119,146,300,325,292
2817,543257,"Grossman, Robbie",2817,100,0.239,0.176,0.286,0.415,0.337,0.334,0.234,133,557,87.3,20.5,2195,89,88.95,234,1081,1736,0,6.28,114,158,118,150,296,324,295
2791,641487,"Crawford, J.P.",2791,100,0.273,0.103,0.32,0.376,0.314,0.298,0.257,169,619,85.6,9.5,2201,89.1,89.01,191,1235,1555,-0.1,6.24,116,151,109,151,286,317,297
2775,571745,"Haniger, Mitch",2775,100,0.253,0.232,0.281,0.485,0.34,0.353,0.262,157,620,89.3,14.8,2207,88.2,88.2,385,1293,1481,0,6.28,107,152,121,145,301,323,292
2774,621566,"Olson, Matt",2774,100,0.271,0.269,0.269,0.54,0.379,0.378,0.264,153,565,91.5,16,2227,88.4,88.32,300,1305,1469,-0.1,6.29,116,168,127,150,300,328,301
2751,502671,"Goldschmidt, Paul",2751,100,0.294,0.221,0.331,0.514,0.373,0.397,0.293,177,603,92.6,17.1,2281,88.9,88.89,302,1215,1536,0,6.29,107,152,121,147,308,326,299
2706,467793,"Santana, Carlos",2706,100,0.214,0.127,0.227,0.342,0.294,0.335,0.244,121,565,89.9,12.9,2171,88.6,88.61,261,1174,1532,0,6.2,113,162,127,150,302,328,304
2691,663993,"Lowe, Nathaniel",2691,100,0.264,0.151,0.339,0.415,0.337,0.323,0.236,147,557,90.8,5,2212,89.5,89.33,283,1202,1489,-0.2,6.25,116,158,124,152,295,328,305
2688,518692,"Freeman, Freddie",2688,100,0.3,0.203,0.321,0.503,0.379,0.416,0.32,180,600,91.4,12,2199,89.5,89.64,289,1375,1313,0.1,6.35,117,162,135,150,301,327,306
2675,656305,"Chapman, Matt",2675,100,0.21,0.193,0.272,0.403,0.311,0.321,0.209,111,529,89.7,18.6,2238,89.3,89.08,391,1194,1481,-0.2,6.32,108,152,121,147,304,325,295
2675,608070,"Ramirez, Jose",2675,100,0.266,0.272,0.256,0.538,0.372,0.376,0.283,147,552,89.8,18.2,2161,88.4,88.15,171,1149,1526,-0.3,6.25,111,161,123,148,296,323,297
2660,518934,"LeMahieu, DJ",2660,100,0.268,0.094,0.301,0.362,0.315,0.34,0.283,160,597,90.6,5,2221,89.7,89.73,158,1100,1560,0,6.36,110,151,121,149,309,324,286
2654,592450,"Judge, Aaron",2654,100,0.287,0.256,0.332,0.544,0.387,0.418,0.308,158,550,95.8,11.6,2234,88.8,88.9,328,1128,1526,0.1,6.38,107,153,122,146,308,332,294
2653,664702,"Straw, Myles",2653,100,0.271,0.076,0.336,0.348,0.311,0.303,0.256,153,564,86.4,12,2231,89.3,88.93,145,1071,1582,-0.4,6.31,105,150,106,145,298,317,281
2643,663697,"India, Jonathan",2643,100,0.269,0.19,0.326,0.459,0.363,0.352,0.254,143,532,87.5,12.9,2244,88.3,88.38,259,1030,1613,0.1,6.3,107,151,116,145,299,321,291
2642,592192,"Canha, Mark",2642,100,0.231,0.156,0.274,0.387,0.333,0.332,0.231,120,519,87.3,13.5,2269,88.4,88.29,230,1071,1571,-0.1,6.33,108,153,120,147,301,324,293
2612,669242,"Edman, Tommy",2612,100,0.262,0.125,0.291,0.387,0.301,0.316,0.274,168,641,87,9,2232,89.2,89.3,185,1239,1373,0.1,6.3,114,151,110,150,295,320,299
2612,608336,"Gallo, Joey",2612,100,0.199,0.259,0.246,0.458,0.348,0.354,0.202,99,498,89.8,20.7,2198,89,88.89,410,1056,1556,-0.1,6.28,116,175,132,152,305,333,304
2610,621043,"Correa, Carlos",2610,100,0.279,0.205,0.308,0.485,0.364,0.373,0.296,155,555,90.2,12.1,2204,88.8,88.74,230,1098,1512,-0.1,6.31,108,152,120,147,301,327,292
2609,666182,"Bichette, Bo",2609,100,0.298,0.186,0.339,0.484,0.354,0.355,0.291,191,640,91.4,7.3,2252,89.5,89.5,337,1508,1101,0,6.3,108,151,120,148,306,325,288
2608,593160,"Merrifield, Whit",2608,100,0.277,0.117,0.309,0.395,0.306,0.301,0.263,184,664,86.4,14,2256,89.1,88.97,236,1304,1304,-0.1,6.25,105,151,107,147,303,321,291
2608,645277,"Albies, Ozzie",2608,100,0.259,0.229,0.278,0.488,0.336,0.332,0.26,163,629,89.5,20.9,2204,88.6,88.67,369,1482,1126,0.1,6.34,113,154,120,148,299,324,299
2606,547989,"Abreu, Jose",2606,100,0.261,0.219,0.293,0.481,0.354,0.349,0.252,148,566,92,10.4,2248,89.1,89.22,349,1261,1345,0.1,6.29,106,151,120,146,303,327,296
2601,665742,"Soto, Juan",2601,100,0.313,0.221,0.332,0.534,0.42,0.429,0.305,157,502,93,5.8,2211,89.4,89.4,182,911,1690,0,6.32,114,154,128,151,301,326,307
2596,660162,"Moncada, Yoan",2596,100,0.263,0.148,0.35,0.412,0.347,0.353,0.261,137,520,90.1,11.3,2195,89.3,89.33,311,1106,1490,0,6.25,113,156,120,149,295,325,300
2595,663586,"Riley, Austin",2595,100,0.303,0.227,0.368,0.531,0.379,0.366,0.281,179,590,90.1,14.2,2249,89.2,89.37,368,1302,1293,0.2,6.39,106,152,119,146,309,327,296
2594,660271,"Ohtani, Shohei",2594,100,0.257,0.335,0.303,0.592,0.393,0.411,0.269,138,537,92.9,16.3,2198,88.2,87.51,416,1189,1405,-0.7,6.29,117,156,129,151,300,328,308
2588,656775,"Mullins, Cedric",2588,100,0.291,0.228,0.322,0.518,0.372,0.344,0.272,175,602,88.2,13.7,2223,89,89.01,244,1197,1391,0,6.4,109,149,101,150,289,321,298
